Date,Day Number,Day,Month,Month Name,Month Number,Year,Season,week of Season,Day Rhythm,Activity
8/29/2022,29,Monday,Aug,August,8,2022,2022/23,1,MD+2,Training
8/30/2022,30,Tuesday,Aug,August,8,2022,2022/23,1,MD-4,Training
8/31/2022,31,Wednesday,Aug,August,8,2022,2022/23,1,MD-3,Training
9/1/2022,1,Thursday,Sep,September,9,2022,2022/23,1,MD-2,Training
9/2/2022,2,Friday,Sep,September,9,2022,2022/23,1,MD-1,Training
9/3/2022,3,Saturday,Sep,September,9,2022,2022/23,1,MD,Game
9/4/2022,4,Sunday,Sep,September,9,2022,2022/23,1,MD+1,Training
9/5/2022,5,Monday,Sep,September,9,2022,2022/23,2,MD+2,Training
9/6/2022,6,Tuesday,Sep,September,9,2022,2022/23,2,MD-4,Training
9/7/2022,7,Wednesday,Sep,September,9,2022,2022/23,2,MD-3,Training
9/8/2022,8,Thursday,Sep,September,9,2022,2022/23,2,MD-2,Training
9/9/2022,9,Friday,Sep,September,9,2022,2022/23,2,MD-1,Training
9/10/2022,10,Saturday,Sep,September,9,2022,2022/23,2,MD,Game
9/11/2022,11,Sunday,Sep,September,9,2022,2022/23,2,MD+1,Training
9/12/2022,12,Monday,Sep,September,9,2022,2022/23,3,MD+2,Training
9/13/2022,13,Tuesday,Sep,September,9,2022,2022/23,3,MD-4,Training
9/14/2022,14,Wednesday,Sep,September,9,2022,2022/23,3,MD-3,Training
9/15/2022,15,Thursday,Sep,September,9,2022,2022/23,3,MD-2,Training
9/16/2022,16,Friday,Sep,September,9,2022,2022/23,3,MD-1,Training
9/17/2022,17,Saturday,Sep,September,9,2022,2022/23,3,MD,Game
9/18/2022,18,Sunday,Sep,September,9,2022,2022/23,3,MD+1,Training
9/19/2022,19,Monday,Sep,September,9,2022,2022/23,4,MD+2,Training
9/20/2022,20,Tuesday,Sep,September,9,2022,2022/23,4,MD-4,Training
9/21/2022,21,Wednesday,Sep,September,9,2022,2022/23,4,MD-3,Training
9/22/2022,22,Thursday,Sep,September,9,2022,2022/23,4,MD-2,Training
9/23/2022,23,Friday,Sep,September,9,2022,2022/23,4,MD-1,Training
9/24/2022,24,Saturday,Sep,September,9,2022,2022/23,4,MD,Game
9/25/2022,25,Sunday,Sep,September,9,2022,2022/23,4,MD+1,Training
9/26/2022,26,Monday,Sep,September,9,2022,2022/23,5,MD+2,Training
9/27/2022,27,Tuesday,Sep,September,9,2022,2022/23,5,MD-4,Training
9/28/2022,28,Wednesday,Sep,September,9,2022,2022/23,5,MD-3,Training
9/29/2022,29,Thursday,Sep,September,9,2022,2022/23,5,MD-2,Training
9/30/2022,30,Friday,Sep,September,9,2022,2022/23,5,MD-1,Training
,,,,,,,,,,
,,,,,,,,,,
