Player Name,Session Date,Drill Name,Session Time(mins),Total Distance,Metres Per Minute,Distance Zone 1,Distance Zone 2,Distance Zone 3,Distance Zone 4,Distance Zone 5,Distance Zone 6,HSR per min,Average Speed,Maximum Speed,Number of Sprints,Number of Accelerations,Accelerations Zone 1,Accelerations Zone 2,Accelerations Zone 3,Accelerations Zone 4,Accelerations Zone 5,Accelerations Zone 6,Number of Decelerations,Decelerations Zone 1,Decelerations Zone 2,Decelerations Zone 3,Decelerations Zone 4,Decelerations Zone 5,Decelerations Zone 6,HML Distance,HML Distance Per Minute,Average Step Impact Left (g),Average Step Impact Right (g),Step Balance,HML Efforts,Explosive Distance
Isco,9/7/2022,Attack v Defence,41.03,2611,63.64,811,737,434,464,158,8,4.05,1.06,7.36,14,48,86,60,39,32,14,2,51,91,69,37,24,17,10,658,16.04,1070,12,2.44,81,492
Modric,9/7/2022,Attack v Defence,41.03,2168,52.84,857,678,331,240,59,3,1.5,0.88,7.4,6,27,75,65,45,16,10,1,30,68,70,34,22,8,0,390,9.51,794,4,1.6,52,329
Asensio,9/7/2022,Attack v Defence,41.03,2285,55.68,727,838,454,185,74,8,1.99,0.93,7.49,6,16,94,95,41,13,2,1,28,100,81,45,13,13,2,358,8.72,616,3,1.46,39,276
Camavinga,9/7/2022,Attack v Defence,41.03,2439,59.45,847,683,446,304,130,28,3.87,0.99,7.75,15,20,86,62,41,16,4,0,21,65,71,25,14,5,2,503,12.26,972,4,1.93,61,344
Marcelo,9/7/2022,Attack v Defence,41.03,2230,54.35,883,689,370,222,63,2,1.58,0.91,7.58,4,21,74,72,42,13,5,3,28,82,61,41,17,10,1,363,8.85,559,2,1.52,40,298
Vasquez,9/7/2022,Attack v Defence,41.03,2664,64.93,840,767,419,389,209,39,6.06,1.08,7.88,20,35,74,78,46,26,9,0,38,77,81,40,21,12,5,681,16.61,929,6,2.5,69,433
Carvajal,9/7/2022,Attack v Defence,41.03,2353,57.35,791,801,497,226,38,1,0.95,0.96,7.31,4,7,57,75,36,6,1,0,12,65,66,31,9,2,1,340,8.29,937,0,1.45,50,301
Militao,9/7/2022,Attack v Defence,41.03,2771,67.54,766,694,577,572,157,5,3.96,1.13,7.17,14,33,47,87,50,23,8,2,39,51,72,44,24,12,3,761,18.54,855,5,2.91,92,598
Alaba,9/7/2022,Attack v Defence,41.03,2476,60.35,809,815,545,229,74,4,1.91,1.01,7.28,9,18,106,90,41,12,6,0,29,101,88,39,19,5,5,370,9.01,1037,6,1.51,49,291
Vallejo,9/7/2022,Attack v Defence,41.03,2740,66.77,823,744,501,502,153,16,4.12,1.11,7.84,14,42,70,61,45,33,7,2,43,82,63,36,22,13,8,690,16.82,1290,7,2.6,75,521
Nacho,9/7/2022,Attack v Defence,41.03,2278,55.52,1091,589,242,218,122,16,3.36,0.93,8.37,14,32,97,52,40,23,7,2,20,83,79,30,17,3,0,402,9.8,636,2,1.54,42,264
Hazard,9/7/2022,Attack v Defence,41.03,2593,63.19,901,835,474,304,74,4,1.9,1.05,7.49,6,23,87,86,36,15,6,2,24,78,88,42,16,3,5,430,10.47,883,2,1.71,54,352
Kroos,9/7/2022,Attack v Defence,41.03,1530,37.29,696,432,202,156,45,0,1.1,0.62,6.73,5,37,74,71,36,23,9,5,19,91,81,25,9,8,2,263,6.41,465,4,1.1,32,218
Benzema,9/7/2022,Attack v Defence,41.03,2831,69,905,760,532,552,72,10,2,1.15,7.98,8,37,91,95,57,30,5,2,29,105,90,65,19,7,3,671,16.34,1241,5,2.63,83,589
Isco,9/10/2022,Attack v Defence,16.03,1692,105.6,370,597,311,301,105,10,7.15,1.76,7.91,13,24,26,43,33,18,5,1,29,33,49,17,14,5,10,405,25.27,691,6,1.51,50,290
