Player Name,Session Date,Drill Name,Session Time(mins),Total Distance,Metres Per Minute,Distance Zone 1,Distance Zone 2,Distance Zone 3,Distance Zone 4,Distance Zone 5,Distance Zone 6,HSR per min,Average Speed,Maximum Speed,Number of Sprints,Number of Accelerations,Accelerations Zone 1,Accelerations Zone 2,Accelerations Zone 3,Accelerations Zone 4,Accelerations Zone 5,Accelerations Zone 6,Number of Decelerations,Decelerations Zone 1,Decelerations Zone 2,Decelerations Zone 3,Decelerations Zone 4,Decelerations Zone 5,Decelerations Zone 6,HML Distance,HML Distance Per Minute,Average Step Impact Left (g),Average Step Impact Right (g),Step Balance,HML Efforts,Explosive Distance
Asensio,2022-09-10,Attack v Defence,16.03,1402.0,87.49,372.0,595.0,242.0,138.0,37.0,19.0,3.47,1.46,7.64,4,10,47,47,27,7,3,0,13,33,40,30,9,2,2,222.0,13.88,550.0,0.0,0.87,22.0,167
Camavinga,2022-09-10,Attack v Defence,16.03,1247.0,77.82,487.0,469.0,200.0,86.0,5.0,0.0,0.28,1.3,5.93,1,5,36,38,17,4,1,0,4,42,40,12,3,1,0,123.0,7.67,423.0,0.0,0.52,17.0,118
Marcelo,2022-09-10,Attack v Defence,16.03,1470.0,91.74,455.0,519.0,239.0,180.0,66.0,11.0,4.82,1.53,7.84,7,17,34,46,26,14,3,0,16,37,45,27,7,7,2,291.0,18.16,526.0,4.0,1.11,29.0,214
Casemiro,2022-09-10,Attack v Defence,16.03,1394.0,86.98,377.0,648.0,246.0,81.0,42.0,0.0,2.63,1.45,6.55,6,13,34,46,40,10,2,1,14,41,70,16,10,3,1,198.0,12.36,510.0,2.0,0.85,21.0,156
Vasquez,2022-09-10,Attack v Defence,16.03,1406.0,87.75,390.0,504.0,254.0,155.0,75.0,29.0,6.46,1.46,8.21,8,18,44,62,18,13,5,0,23,38,63,17,12,7,4,311.0,19.38,319.0,4.0,1.2,36.0,207
Carvajal,2022-09-10,Attack v Defence,16.03,1441.0,89.88,369.0,644.0,261.0,141.0,26.0,0.0,1.62,1.5,6.32,2,4,43,53,21,3,1,0,8,24,51,21,6,0,2,199.0,12.44,672.0,0.0,0.82,24.0,173
Vinicius Jr,2022-09-10,Attack v Defence,16.03,1394.0,86.97,383.0,666.0,278.0,66.0,1.0,0.0,0.07,1.45,5.59,0,9,24,63,30,9,0,0,6,35,62,14,6,0,0,140.0,8.74,344.0,0.0,0.67,18.0,139
Mendy,2022-09-10,Attack v Defence,16.03,1620.0,101.09,353.0,656.0,326.0,226.0,57.0,2.0,3.67,1.68,7.11,6,10,49,66,25,6,3,1,13,39,60,31,9,3,1,296.0,18.45,452.0,2.0,1.18,35.0,237
Alaba,2022-09-10,Attack v Defence,16.03,1432.0,89.36,324.0,801.0,228.0,56.0,23.0,0.0,1.46,1.49,6.65,3,11,41,58,19,10,1,0,12,36,53,28,9,2,1,138.0,8.62,633.0,2.0,0.61,17.0,115
Nacho,2022-09-10,Attack v Defence,16.03,1158.0,72.23,526.0,335.0,158.0,119.0,20.0,0.0,1.22,1.2,6.46,4,10,30,35,26,8,2,0,12,33,37,17,9,2,1,161.0,10.03,321.0,0.0,0.66,21.0,141
