Session Date,Player Name,Energy,Sleep Quality,Stress,Soreness,Total Score
09/01/2022,Ahmed,9,9,9,9,36
09/02/2022,Ahmed,10,10,10,9,39
09/03/2022,Ahmed,10,10,10,9,39
09/06/2022,Ahmed,10,10,10,9,39
09/07/2022,Ahmed,10,10,10,9,39
09/08/2022,Ahmed,10,10,10,9,39
09/09/2022,Ahmed,10,10,10,9,39
09/12/2022,Ahmed,10,10,10,10,40
9/14/2022,Ahmed,10,10,10,8,38
9/15/2022,Ahmed,10,10,10,9,39
9/16/2022,Ahmed,10,10,10,9,39
9/18/2022,Ahmed,10,10,10,9,39
9/19/2022,Ahmed,10,10,10,9,39
9/21/2022,Ahmed,10,10,10,8,38
9/22/2022,Ahmed,10,10,10,8,38
9/26/2022,Ahmed,10,10,10,8,38
9/27/2022,Ahmed,10,10,10,8,38
9/28/2022,Ahmed,10,10,10,9,39
9/30/2022,Ahmed,10,10,10,9,39
09/07/2022,Mohamed,7,7,7,7,28
09/08/2022,Mohamed,7,7,7,7,28
09/09/2022,Mohamed,7,8,6,7,28
09/12/2022,Mohamed,9,7,8,8,32
9/15/2022,Mohamed,8,8,8,8,32
9/16/2022,Mohamed,8,7,8,8,31
9/18/2022,Mohamed,6,7,7,7,27
9/19/2022,Mohamed,7,6,8,7,28
9/21/2022,Mohamed,8,7,8,8,31
9/22/2022,Mohamed,7,7,8,8,30
9/26/2022,Mohamed,8,7,8,8,31
9/27/2022,Mohamed,7,7,7,5,26
9/28/2022,Mohamed,7,8,8,5,28
9/29/2022,Mohamed,7,7,7,6,27
9/30/2022,Mohamed,7,8,8,7,30
8/29/2022,Omar,7,7,4,6,24
09/01/2022,Omar,9,8,9,7,33
09/02/2022,Omar,8,7,8,7,30
09/04/2022,Omar,8,8,8,7,31
09/06/2022,Omar,7,7,8,8,30
09/07/2022,Omar,8,8,8,9,33
09/08/2022,Omar,8,8,8,8,32
09/09/2022,Omar,8,8,8,8,32
9/13/2022,Omar,8,8,8,8,32
9/14/2022,Omar,8,8,8,7,31
9/15/2022,Omar,8,8,8,8,32
9/16/2022,Omar,8,9,8,7,32
9/18/2022,Omar,7,8,7,7,29
9/19/2022,Omar,8,8,8,8,32
9/21/2022,Omar,7,8,8,7,30
9/22/2022,Omar,8,8,8,7,31
9/26/2022,Omar,9,8,8,9,34
9/27/2022,Omar,8,8,8,7,31
9/28/2022,Omar,8,8,8,7,31
9/29/2022,Omar,8,8,8,7,31
8/29/2022,Ibrahim,8,8,8,7,31
09/01/2022,Ibrahim,9,8,7,8,32
09/02/2022,Ibrahim,8,8,8,8,32
09/03/2022,Ibrahim,8,8,8,8,32
09/04/2022,Ibrahim,9,9,8,9,35
09/06/2022,Ibrahim,8,8,8,7,31
09/07/2022,Ibrahim,8,8,8,8,32
09/08/2022,Ibrahim,7,8,8,6,29
09/09/2022,Ibrahim,8,8,8,8,32
09/12/2022,Ibrahim,10,10,9,9,38
9/13/2022,Ibrahim,9,8,8,8,33
9/14/2022,Ibrahim,7,8,8,7,30
9/15/2022,Ibrahim,8,7,8,8,31
9/16/2022,Ibrahim,8,8,8,7,31
9/18/2022,Ibrahim,8,8,8,7,31
9/29/2022,Ibrahim,9,9,9,7,34
8/29/2022,Samy,5,6,5,4,20
09/03/2022,Samy,6,6,4,3,19
09/04/2022,Samy,6,8,6,3,23
09/06/2022,Samy,5,4,7,4,20
