Session Date,Player Name,Energy,Sleep Quality,Stress,Soreness,Total Score
2022-09-01,Ahmed,9,9,9,9,36
2022-09-02,Ahmed,10,10,10,9,39
2022-09-03,Ahmed,10,10,10,9,39
2022-09-06,Ahmed,10,10,10,9,39
2022-09-07,Ahmed,10,10,10,9,39
2022-09-08,Ahmed,10,10,10,9,39
2022-09-09,Ahmed,10,10,10,9,39
2022-09-12,Ahmed,10,10,10,10,40
2022-09-14,Ahmed,10,10,10,8,38
2022-09-15,Ahmed,10,10,10,9,39
2022-09-16,Ahmed,10,10,10,9,39
2022-09-18,Ahmed,10,10,10,9,39
2022-09-19,Ahmed,10,10,10,9,39
2022-09-21,Ahmed,10,10,10,8,38
2022-09-22,Ahmed,10,10,10,8,38
2022-09-26,Ahmed,10,10,10,8,38
2022-09-27,Ahmed,10,10,10,8,38
2022-09-28,Ahmed,10,10,10,9,39
2022-09-30,Ahmed,10,10,10,9,39
2022-09-07,Mohamed,7,7,7,7,28
2022-09-08,Mohamed,7,7,7,7,28
2022-09-09,Mohamed,7,8,6,7,28
2022-09-12,Mohamed,9,7,8,8,32
2022-09-15,Mohamed,8,8,8,8,32
2022-09-16,Mohamed,8,7,8,8,31
2022-09-18,Mohamed,6,7,7,7,27
2022-09-19,Mohamed,7,6,8,7,28
2022-09-21,Mohamed,8,7,8,8,31
2022-09-22,Mohamed,7,7,8,8,30
2022-09-26,Mohamed,8,7,8,8,31
2022-09-27,Mohamed,7,7,7,5,26
2022-09-28,Mohamed,7,8,8,5,28
2022-09-29,Mohamed,7,7,7,6,27
2022-09-30,Mohamed,7,8,8,7,30
2022-08-29,Omar,7,7,4,6,24
2022-09-01,Omar,9,8,9,7,33
2022-09-02,Omar,8,7,8,7,30
2022-09-04,Omar,8,8,8,7,31
2022-09-06,Omar,7,7,8,8,30
2022-09-07,Omar,8,8,8,9,33
2022-09-08,Omar,8,8,8,8,32
2022-09-09,Omar,8,8,8,8,32
2022-09-13,Omar,8,8,8,8,32
2022-09-14,Omar,8,8,8,7,31
2022-09-15,Omar,8,8,8,8,32
2022-09-16,Omar,8,9,8,7,32
2022-09-18,Omar,7,8,7,7,29
2022-09-19,Omar,8,8,8,8,32
2022-09-21,Omar,7,8,8,7,30
2022-09-22,Omar,8,8,8,7,31
2022-09-26,Omar,9,8,8,9,34
2022-09-27,Omar,8,8,8,7,31
2022-09-28,Omar,8,8,8,7,31
2022-09-29,Omar,8,8,8,7,31
2022-08-29,Ibrahim,8,8,8,7,31
2022-09-01,Ibrahim,9,8,7,8,32
2022-09-02,Ibrahim,8,8,8,8,32
2022-09-03,Ibrahim,8,8,8,8,32
2022-09-04,Ibrahim,9,9,8,9,35
2022-09-06,Ibrahim,8,8,8,7,31
2022-09-07,Ibrahim,8,8,8,8,32
2022-09-08,Ibrahim,7,8,8,6,29
2022-09-09,Ibrahim,8,8,8,8,32
2022-09-12,Ibrahim,10,10,9,9,38
2022-09-13,Ibrahim,9,8,8,8,33
2022-09-14,Ibrahim,7,8,8,7,30
2022-09-15,Ibrahim,8,7,8,8,31
2022-09-16,Ibrahim,8,8,8,7,31
2022-09-18,Ibrahim,8,8,8,7,31
2022-09-29,Ibrahim,9,9,9,7,34
2022-08-29,Samy,5,6,5,4,20
2022-09-03,Samy,6,6,4,3,19
2022-09-04,Samy,6,8,6,3,23
2022-09-06,Samy,5,4,7,4,20
2022-09-07,Samy,6,7,5,6,24
2022-09-09,Samy,5,7,4,4,20
2022-09-12,Samy,5,6,7,8,26
2022-09-16,Samy,6,5,7,6,24
2022-09-19,Samy,6,5,8,3,22
2022-09-21,Samy,6,8,5,8,27
2022-09-22,Samy,5,7,5,5,22
2022-09-26,Samy,8,5,7,9,29
2022-09-29,Samy,7,6,8,7,28
2022-09-30,Samy,6,7,4,4,21
2022-08-29,Majed,7,7,7,7,28
2022-09-01,Majed,7,7,7,7,28
2022-09-02,Majed,7,7,7,7,28
2022-09-03,Majed,7,7,7,7,28
2022-09-04,Majed,7,7,7,7,28
2022-09-06,Majed,6,6,5,7,24
2022-09-07,Majed,7,7,7,7,28
2022-09-08,Majed,7,7,7,7,28
2022-09-09,Majed,7,7,7,7,28
2022-09-12,Majed,7,7,7,7,28
2022-09-14,Majed,7,7,7,6,27
2022-09-15,Majed,7,7,7,7,28
2022-09-16,Majed,7,7,7,7,28
2022-09-18,Majed,7,7,7,7,28
2022-09-19,Majed,7,7,7,7,28
2022-09-22,Majed,7,7,7,6,27
2022-09-26,Majed,7,7,7,7,28
2022-09-27,Majed,7,7,7,7,28
2022-09-28,Majed,7,7,7,7,28
2022-09-29,Majed,7,7,7,7,28
2022-08-29,Youssef,8,8,8,8,32
2022-09-01,Youssef,8,8,8,8,32
2022-09-02,Youssef,7,8,8,8,31
2022-09-03,Youssef,8,8,8,8,32
2022-09-04,Youssef,8,8,8,8,32
2022-09-06,Youssef,7,7,7,7,28
2022-09-07,Youssef,8,8,8,8,32
2022-09-08,Youssef,8,8,8,8,32
2022-09-09,Youssef,8,8,8,8,32
2022-09-12,Youssef,8,8,8,8,32
2022-09-14,Youssef,6,7,7,6,26
2022-09-15,Youssef,7,7,7,7,28
2022-09-16,Youssef,7,7,7,7,28
2022-09-18,Youssef,7,7,7,7,28
2022-09-19,Youssef,7,8,7,7,29
2022-09-21,Youssef,5,7,7,6,25
2022-09-22,Youssef,7,7,7,7,28
2022-09-26,Youssef,7,8,8,8,31
2022-09-27,Youssef,8,8,8,5,29
2022-09-28,Youssef,7,7,7,7,28
2022-09-29,Youssef,7,7,7,7,28
2022-09-30,Youssef,7,7,7,7,28
2022-08-29,Hassan,9,8,9,9,35
2022-09-01,Hassan,8,9,10,8,35
2022-09-02,Hassan,8,8,10,9,35
2022-09-03,Hassan,9,9,10,7,35
2022-09-04,Hassan,9,8,10,9,36
2022-09-06,Hassan,8,8,10,8,34
2022-09-07,Hassan,8,9,10,8,35
2022-09-08,Hassan,9,9,10,9,37
2022-09-09,Hassan,9,9,10,10,38
2022-09-12,Hassan,9,9,10,10,38
2022-09-13,Hassan,10,8,10,10,38
2022-09-14,Hassan,10,10,10,9,39
2022-09-15,Hassan,10,10,10,10,40
2022-09-16,Hassan,10,9,10,9,38
2022-09-29,Hassan,8,6,10,9,33
2022-09-06,Tariq,8,8,9,7,32
2022-09-07,Tariq,7,8,10,7,32
2022-09-12,Tariq,8,9,9,7,33
2022-09-18,Tariq,6,9,10,6,31
2022-09-19,Tariq,8,8,9,7,32
2022-09-21,Tariq,7,9,9,7,32
2022-08-29,Nabil,6,8,10,8,32
2022-09-01,Nabil,5,9,10,6,30
2022-09-02,Nabil,7,8,10,7,32
2022-09-03,Nabil,7,9,10,6,32
2022-09-04,Nabil,6,8,10,7,31
2022-09-06,Nabil,6,8,10,6,30
2022-09-07,Nabil,7,9,9,7,32
2022-09-08,Nabil,7,8,10,7,32
2022-09-09,Nabil,7,9,10,6,32
2022-09-12,Nabil,7,8,10,6,31
2022-09-14,Nabil,5,9,10,6,30
2022-09-15,Nabil,5,7,10,6,28
2022-09-18,Nabil,7,8,10,6,31
2022-09-19,Nabil,6,7,9,7,29
2022-09-21,Nabil,7,8,9,7,31
2022-09-22,Nabil,7,8,9,6,30
2022-09-26,Nabil,7,8,8,6,29
2022-09-27,Nabil,7,8,8,7,30
2022-09-28,Nabil,7,9,9,6,31
2022-09-29,Nabil,7,8,9,7,31
2022-09-30,Nabil,7,7,9,6,29
2022-08-29,Karim,7,9,8,7,31
2022-09-01,Karim,8,10,8,7,33
2022-09-02,Karim,8,9,9,7,33
2022-09-03,Karim,8,9,8,6,31
2022-09-04,Karim,8,9,9,8,34
2022-09-06,Karim,7,8,9,6,30
2022-09-07,Karim,8,9,9,6,32
2022-09-08,Karim,8,10,9,7,34
2022-09-09,Karim,9,8,9,6,32
2022-09-12,Karim,9,9,10,8,36
2022-09-13,Karim,8,9,9,8,34
2022-09-14,Karim,7,7,9,7,30
2022-09-15,Karim,9,9,9,8,35
2022-09-16,Karim,9,8,9,8,34
2022-09-18,Karim,7,7,10,8,32
2022-09-19,Karim,8,8,9,8,33
2022-09-21,Karim,6,5,9,7,27
2022-09-22,Karim,9,9,8,8,34
2022-09-26,Karim,8,8,9,8,33
2022-09-27,Karim,9,10,10,8,37
2022-09-28,Karim,8,7,9,6,30
2022-09-29,Karim,7,8,9,7,31
2022-09-30,Karim,8,9,9,7,33
2022-08-29,Rami,10,10,10,10,40
2022-09-01,Rami,10,10,10,10,40
2022-09-02,Rami,10,10,10,8,38
2022-09-04,Rami,10,10,10,10,40
2022-09-06,Rami,7,2,10,7,26
2022-09-07,Rami,10,10,10,8,38
2022-09-08,Rami,10,10,6,8,34
2022-09-09,Rami,10,10,10,8,38
2022-09-12,Rami,10,10,10,10,40
2022-09-14,Rami,10,10,10,8,38
2022-09-15,Rami,10,10,10,10,40
2022-09-16,Rami,10,10,10,10,40
2022-09-22,Rami,10,10,10,10,40
2022-09-27,Rami,10,10,10,8,38
2022-09-28,Rami,10,10,10,7,37
2022-09-29,Rami,10,10,10,10,40
2022-08-29,Adel,6,5,7,6,24
2022-09-01,Adel,7,9,7,6,29
2022-09-02,Adel,7,6,6,5,24
2022-09-03,Adel,7,8,6,6,27
2022-09-04,Adel,7,7,6,6,26
2022-09-06,Adel,7,7,6,5,25
2022-09-07,Adel,6,7,6,6,25
2022-09-08,Adel,7,6,6,5,24
2022-09-09,Adel,7,7,6,6,26
2022-09-12,Adel,7,8,6,8,29
2022-09-14,Adel,6,7,6,3,22
2022-09-15,Adel,6,7,6,4,23
2022-09-18,Adel,4,5,3,4,16
2022-09-19,Adel,5,6,5,4,20
2022-09-21,Adel,7,5,6,7,25
2022-09-22,Adel,7,8,6,8,29
2022-09-26,Adel,8,7,6,7,28
2022-09-27,Adel,6,6,6,7,25
2022-09-28,Adel,7,9,6,6,28
2022-09-29,Adel,7,8,6,6,27
2022-09-30,Adel,7,7,6,4,24
2022-09-04,Mahmoud,7,7,8,7,29
2022-09-06,Mahmoud,5,5,6,8,24
2022-09-07,Mahmoud,5,5,7,9,26
2022-09-08,Mahmoud,6,7,7,8,28
2022-09-09,Mahmoud,7,8,7,9,31
2022-09-12,Mahmoud,6,8,6,9,29
2022-09-16,Mahmoud,7,7,7,8,29
2022-09-18,Mahmoud,8,7,7,9,31
2022-09-21,Mahmoud,6,7,6,9,28
2022-08-29,Fahad,8,8,9,9,34
2022-09-01,Fahad,9,10,9,9,37
2022-09-02,Fahad,9,8,9,9,35
2022-09-03,Fahad,9,7,8,9,33
2022-09-04,Fahad,9,9,10,9,37
2022-09-06,Fahad,9,8,9,9,35
2022-09-07,Fahad,9,9,9,7,34
2022-09-08,Fahad,9,8,9,9,35
2022-09-09,Fahad,9,10,9,10,38
2022-09-12,Fahad,9,10,9,10,38
2022-09-13,Fahad,8,8,9,9,34
2022-09-14,Fahad,9,9,9,10,37
2022-09-15,Fahad,9,7,9,9,34
2022-09-16,Fahad,9,9,9,10,37
2022-09-29,Fahad,8,9,8,9,34
2022-08-29,Khalil,7,6,8,8,29
2022-09-01,Khalil,8,7,9,7,31
2022-09-02,Khalil,7,6,7,7,27
2022-09-03,Khalil,7,6,8,8,29
2022-09-04,Khalil,8,7,8,8,31
2022-09-06,Khalil,6,6,8,6,26
2022-09-07,Khalil,7,7,8,7,29
